document_uid,mentions
DOC_513567d01f53b2b33f62,3.0
DOC_03e295557a688bfd389c,3.0
DOC_960b57fcd2ac299d2446,0.0
DOC_299279f736f62178e28f,1.0
DOC_fe57f2222f1b7d3281dc,1.0
DOC_b4f36759f0e3fdb3cf5c,6.0
DOC_a3153d010b69194e17b5,3.0
DOC_c7e7971a24270a306cec,5.0
DOC_6dc88671e59d483a4ad8,4.0
DOC_015504ed7a6c14e99f54,2.0
DOC_c74348b9a421d4773979,3.0
DOC_1f08096a6f5cb0b84863,3.0
DOC_d7f5d37b189b975e3861,6.0
DOC_9a0cc8fc19f2af52d1b1,3.0
DOC_4360f55bd84937fffbf9,3.0
DOC_d2c0de98459a6fa9bcf2,4.0
DOC_6615486ae2d4b084d21f,3.0
DOC_a1cd3a96c68e75943f41,2.0
DOC_ab6cfe8c15e0de3325ee,3.0
DOC_e6614547cebfc88d9683,5.0
DOC_7348134295d8d32e441d,2.0
DOC_00efd0c097cd780c5db8,1.0
DOC_a1e04e8db81c44607b96,3.0
DOC_e484b9d9f8dbd030f2a6,4.0
DOC_99b327c02095e21663fd,5.0
DOC_f67a3b6ba377c9968b66,3.0
DOC_45922470b95f9a7a7348,0.0
DOC_b0c9c1c439105f27c12e,3.0
DOC_800f5707c3f486bca8d7,0.0
DOC_b3892c7c4efe6f82c6df,5.0
DOC_f540b2cb414649b68fb7,3.0
DOC_af9077ae9158ef375ec3,3.0
DOC_c2d59634b715f5623219,6.0
DOC_cd9cb10da2188aadb852,5.0
DOC_c7500371d51c1ee5a2b8,6.0
DOC_fe9e11dac4820b3d3664,3.0
DOC_b2b4f1edb16dfee17b5e,4.0
DOC_426f894c43ac5135e642,4.0
DOC_51f4c36a0a98f47081a4,6.0
DOC_3c229d9b29293b57b355,9.0
DOC_41f1a0995af89cf58299,2.0
DOC_59d9ed64881c2c506a42,3.0
DOC_60f2c762bc04c3556bc5,0.0
DOC_76a1e631af46f2e51073,2.0
DOC_057a8c78773b3373450a,2.0
DOC_1ab183b9fdcfe2548d37,3.0
DOC_ced90a1cfeaafc0f2e7b,1.0
DOC_a5e02a9379879a86ad9e,5.0
DOC_e71317d0e50c3272eaef,0.0
DOC_b78522d0235a7b2725d3,6.0
DOC_62901cd02ee3bb243d4e,4.0
DOC_bfcfa19e07f98e8b8338,4.0
DOC_b23cd6a0ea6be838fbf2,6.0
DOC_3b98374b75fa85d8aec8,4.0
DOC_4ce17f99df7e524173ec,3.0
DOC_b19e151f595e0b223ceb,3.0
DOC_b7a0959e35dd85d3a557,7.0
DOC_91a7a75c63730bf7ea84,4.0
DOC_f68e30c18d9f420ed61a,5.0
DOC_f8ee1e7dc2291ca26842,0.0
DOC_8846d5e95eb1150672fe,7.0
DOC_26d56ddcce080a08871f,0.0
DOC_40583eb750b619cbf0fd,3.0
DOC_8004b0d2656b521efc23,4.0
DOC_3be286836ee1aaf78e29,2.0
DOC_b3e9761ec54b9b1d06dc,5.0
DOC_60c7b1b0da2efefe7674,4.0
DOC_40ca61500264ca3498e4,5.0
DOC_9d480b70ef68d1a9afc4,3.0
DOC_0856790ded62a4a8dabb,0.0
DOC_f68d4b5dc50302f1958b,2.0
DOC_bc747e7fb2c671733981,1.0
DOC_ed694fa78408a528c242,5.0
DOC_64da5963fd227fc2d448,5.0
DOC_53738e3e75e5439be8a6,1.0
DOC_0133e529c7515399fbd9,0.0
DOC_cdc281ba9bb751a9cedb,5.0
DOC_be3cc448776627c0e753,6.0
DOC_f3b1a518d72feacbe10f,0.0
